(destinasi (nama "Kopi Klotok") (lokasi alam) (aktivitas kuliner))
(destinasi (nama "Candi Borobudur") (lokasi alam) (aktivitas sejarah))
(destinasi (nama "Pantai Kesirat") (lokasi alam) (aktivitas estetik))
(destinasi (nama "Pasar Beringharjo") (lokasi perkotaan) (aktivitas kuliner))
(destinasi (nama "Museum Sonobudoyo") (lokasi perkotaan) (aktivitas sejarah))
(destinasi (nama "JNM Bloc") (lokasi perkotaan) (aktivitas estetik))
(destinasi (nama "Kopi Klotok") (lokasi Alam) (aktivitas Kuliner))
(destinasi (nama "Candi Borobudur") (lokasi Alam) (aktivitas Sejarah))
(destinasi (nama "Pantai Kesirat") (lokasi Alam) (aktivitas Estetik))
(destinasi (nama "Pasar Beringharjo") (lokasi Perkotaan) (aktivitas Kuliner))
(destinasi (nama "Museum Sonobudoyo") (lokasi Perkotaan) (aktivitas Sejarah))
(destinasi (nama "JNM Bloc") (lokasi Perkotaan) (aktivitas Estetik))
